article,reason,comment
Simon Tedeschi,copyright,"content was: '{{copyvio|url=http://members.ozemail.com.au/~pjtogher/instrum/tedescs.htm}} [[User:NHSavage|NHSavage]] 21:18, 26 October 2005 (UTC)'"
Muraqaba,copyright,"deleting to remove copyvio edits, will undelete shortly"
Llama (band),copyright,"Copyvio version in history, will restore the good versions"
Ciudad del Saber,copyright,blatant copyvio
WTTT,copyright,Copyvio; listed on [[WP:CP]] since Nov 4; http://www.bostonradio.org/stations/25051.html
Steve Dahl,copyright,Copyvio; listed on [[WP:CP]] since Nov 4; http://www.imdb.com/name/nm0196974/bio
Burgess Hill Town Football Club,copyright,has been listed as copyvio since August
Here With Me,copyright,blatant copyvio - just song lyrics
Battle of the Metaurus River,copyright,"content was: '{{copyvio|url=http://www.barca.fsnet.co.uk/metaurus-207bc.htm}}[[User:Gsl|Geoff/Gsl]] 22:13, 8 November 2005 (UTC)'"
Hans Suess,copyright,content was: '{{copyvio|url=http://orpheus.ucsd.edu/speccoll/testing/html/mss0199d.html}}'
Skee-Lo,copyright,copyvio - listed on WP:CP for more than 7 days
Bigeye tuna,copyright,Copyvio from mexfish.com
Michael Maltz,copyright,copyvio - http://tigger.uic.edu/~mikem/
Mukunda Goswami,copyright,content was: '{{db-copyvio|url=http://www.dci.dk/index.php?artikel=490}}H.H. Mukunda Goswami was a close friend of Beatles legend George Harrison. Excerpt from Ge...'
Churchlands Senior High School,copyright,"deleting to remove copyvio edits, will undelete shortly"
Isobestic point,copyright,"content was: '{{db|copyvio of commerical content provider , has been rewritten}}copyvio of http://www.frca.co.uk/article.aspx?articleid=332'"
Charlestown Mob,copyright,to clear copyright problems from history
H. Paul Rico,copyright,content was: '{{copyvio|url=http://www.thebrothersbulger.com/H.%20Paul%20Rico.htm}}'
Alex Rocco,copyright,"copyright problems, deleting and starting over"
Shabeg Singh,copyright,Copyvio
Darkness Visible,copyright,content was: '{{copyvio|url=http://www.prep4usmle.com/0374525609/Darkness_Visible.htm}}'yep copyvio
Skrewdriver,copyright,content was: '{{copyvio|url=http://www.skrewdriver88.com/first10years/}}'yep copyvio
5th Avenue Theatre,copyright,content was: '{{copyvio|url=http://www.5thavenuetheatre.org/historyandphotos.shtml}}'yep copyvio
Catch wrestling,copyright,yep copyvio
Journey Through the Past,copyright,content was: '{{copyvio|url=http://www.thrasherswheat.org/tfa/groundhog73.htm}}'yep copyvio
Land's End Airport,copyright,copyvio
Majesty (band),copyright,"content was: '{{copyvio|url=http://www.tartareandesire.com/bands/majesty.html}} &#126;[[User:Mdd4696|<span style=""color:#333333;font:normal normal bold small sans-s...'yep copyvio"
Robert Spano,copyright,A8 blatant copyvio http://www.atlantasymphony.org/meetthemusicians/robertspano.aspx
